0,0
0.1,0
0.2,0
0.3,0
0.4,0.0022246
0.5,0.0022246
0.6,0.00025584
0.7,0.002
0.8,0.002
0.9,0
1,0
1.1,0
1.2,3.49E-10
1.3,3.49E-10
1.4,0
1.5,1.16E-10
1.6,0.00049174
1.7,0
1.8,0
1.9,0
2,0
2.1,0.0020425
2.2,0.002
2.3,0
2.4,0
2.5,0.002
2.6,0
2.7,0
2.8,0
2.9,0
3,0.0022804
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0.00070003
3.6,0
3.7,0.00046198
3.8,0.00046198
3.9,0
4,0
4.1,0
4.2,0
4.3,7.50E-05
4.4,7.50E-05
4.5,0
4.6,0.00031422
4.7,0
4.8,0
4.9,0.0018307
5,0.002
5.1,0.0026326
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0.00012558
6,0.00077984
6.1,0
6.2,0.002
6.3,0.002
6.4,0.002
6.5,0
6.6,0.0010837
6.7,0.00081251
6.8,0.00081251
6.9,0.002
7,0.002
7.1,0.002
7.2,0.0022196
7.3,0.0022196
7.4,0.00099993
7.5,0.002
7.6,0.002
7.7,0.00032794
7.8,0.00032794
7.9,0.002
8,0.00087796
8.1,0
8.2,0
8.3,0.002
8.4,0.002
8.5,0
8.6,5.08E-05
8.7,8.33E-05
8.8,8.33E-05
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0.0011246
9.8,0.0011246
9.9,0.0012545
10,0.002154
10.1,0.0018036
10.2,0.001038
10.3,0.001038
10.4,0.00091017
10.5,0.0015784
10.6,0.002
10.7,0
10.8,0
10.9,0.0013566
11,0
11.1,0.002
11.2,0
11.3,0
11.4,0
11.5,0.00059992
11.6,0.002
11.7,0.002
11.8,0.002
11.9,0.00040185
12,0.0017078
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,5.82E-11
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0.002
13.5,0.002
13.6,0
13.7,0.002
13.8,0.002
13.9,0.00156
14,0.002
14.1,0.002
14.2,0.00055587
14.3,0.00055587
14.4,0.002
14.5,0
14.6,0.001413
14.7,0.00028552
14.8,0.00028552
14.9,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0.00084224
15.5,0.00042012
15.6,4.60E-06
15.7,4.66E-10
15.8,4.66E-10
15.9,0
16,0.002
16.1,0.0001231
16.2,0.00029962
16.3,0.00029962
16.4,0.0025488
16.5,0.00020926
16.6,0
16.7,0.002
16.8,0.002
16.9,0
17,0.00029087
17.1,0
17.2,0.00020157
17.3,0.00020157
17.4,0.002
17.5,0.00073694
17.6,0.0008496
17.7,0.00068332
17.8,0.00068332
17.9,0.00030783
18,0.00019926
18.1,0
18.2,0.002
18.3,0.002
18.4,0.002
18.5,0
18.6,0.002
18.7,0
